epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1517,1.25297,2.49139,1.35113,1.1445,0,0.70465,0.56522,0.59914,0.44872,0.55721,0.54348,0.46068,0.17219,1.26903,5.71043,3.71031,1.52129,0,0.000492063,0.000492063,0.0512857
2,93.2255,1.3112,2.37902,1.32846,1.15854,0,0.7607,0.54348,0.62342,0.41612,0.6142,0.67391,0.63928,0.37,1.55101,2.47075,1.99525,2.2079,0,0.000972421,0.000972421,0.00176607
3,137.171,1.30739,2.35124,1.32154,1.1518,0,0.74705,0.69565,0.73219,0.47673,0.74705,0.69565,0.74396,0.44557,1.25913,1.7324,1.78795,1.65131,0,0.0009604,0.0009604,0.0009604
4,181.554,1.27232,2.24425,1.27662,1.17748,0,0.77145,0.6087,0.65918,0.43044,0.75367,0.63043,0.67513,0.4366,1.34579,1.69685,1.62878,1.69203,0,0.0009406,0.0009406,0.0009406
5,226.97,1.27371,2.29181,1.24248,1.15419,0,0.55521,0.69565,0.60365,0.41547,0.55521,0.69565,0.63353,0.45658,1.2698,1.27406,1.51619,1.58501,0,0.0009208,0.0009208,0.0009208
6,270.87,1.25711,2.21344,1.22413,1.15159,0,0.81163,0.63043,0.67837,0.45859,0.86574,0.65217,0.70724,0.49525,1.52651,1.29236,1.47209,1.89801,0,0.000901,0.000901,0.000901
7,316.064,1.27311,2.18362,1.17113,1.13723,0,0.78473,0.63043,0.67769,0.44805,0.78473,0.63043,0.70711,0.46719,1.52786,1.49822,1.56532,1.84101,0,0.0008812,0.0008812,0.0008812
8,361.318,1.23311,2.10646,1.15066,1.11185,0,0.74057,0.67391,0.68869,0.46558,0.72755,0.69565,0.71227,0.49045,1.29333,1.26501,1.39,1.53853,0,0.0008614,0.0008614,0.0008614
9,405.792,1.22182,2.12718,1.1136,1.10814,0,0.6942,0.63043,0.6938,0.49063,0.71935,0.65217,0.71575,0.49106,1.22027,1.31456,1.55036,1.51362,0,0.0008416,0.0008416,0.0008416
10,449.952,1.19107,2.12024,1.10661,1.10755,0,0.731,0.67391,0.70033,0.47435,0.70702,0.65217,0.68875,0.47122,1.14453,1.45363,1.59691,1.38289,0,0.0008218,0.0008218,0.0008218
11,493.395,1.14,2.02022,1.0571,1.07642,0,0.69764,0.65206,0.66993,0.47966,0.74323,0.69223,0.72447,0.50851,1.53837,1.35747,1.27305,1.821,0,0.000802,0.000802,0.000802
12,539.476,1.1634,2.04664,1.11937,1.08494,0,0.63353,0.67651,0.64215,0.5134,0.72803,0.67391,0.70696,0.53448,1.16058,1.20792,1.33526,1.44719,0,0.0007822,0.0007822,0.0007822
13,584.549,1.1411,2.06585,1.07382,1.07074,0,0.6755,0.6789,0.6733,0.4955,0.70308,0.63043,0.67019,0.46615,1.45916,1.29145,1.23796,1.77092,0,0.0007624,0.0007624,0.0007624
14,626.298,1.1507,2.03652,1.03268,1.07628,0,0.72559,0.69565,0.67703,0.49717,0.72357,0.69565,0.6911,0.5017,1.23785,1.25276,1.36999,1.51075,0,0.0007426,0.0007426,0.0007426
15,660.898,1.11386,1.93656,1.0089,1.06512,0,0.722,0.71739,0.65778,0.44832,0.72339,0.78261,0.6972,0.47248,1.40638,1.39849,1.53627,1.65301,0,0.0007228,0.0007228,0.0007228
16,704.71,1.15846,2.06098,1.01558,1.06999,0,0.76197,0.69592,0.71034,0.46984,0.7156,0.71739,0.7068,0.47635,1.55751,1.28465,1.38723,1.86637,0,0.000703,0.000703,0.000703
